#FILE,SEQUENCE,START,END,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_100116,462,584,tsr,1087-1209/2022,........=......,0/0,6.08,78.862,vfdb,YP_109900
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_100430,1,346,dnt,2549-2894/4395,........==.....,0/0,7.87,99.133,vfdb,NP_881965
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_101715,594,742,bplC,458-606/1101,.....===/......,4/8,13.17,78.431,vfdb,NP_878993
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_102011,148,710,clpP,1-563/597,===============,0/0,94.30,79.218,vfdb,NP_465991
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_102420,109,222,tlpC,1663-1776/2022,............==.,0/0,5.64,81.579,vfdb,NP_206882
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_102924,315,425,bplL,1-111/1875,=..............,0/0,5.92,100.000,vfdb,NP_878986
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_104264,1585,1748,tlpC,1627-1790/2022,............==.,0/0,8.11,76.829,vfdb,NP_206882
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_104350,12,316,hsiC1/vipB,1193-1497/1497,...........====,0/0,20.37,82.623,vfdb,NP_248774
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_104894,1,75,bplA,1-75/1053,==.............,0/0,7.12,100.000,vfdb,NP_878995
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_106121,1,131,bsp22,488-618/618,...........====,0/0,21.20,97.710,vfdb,NP_880899
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_106121,154,429,btc22,1-276/276,===============,0/0,100.00,97.101,vfdb,NP_880898
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_13125,1,304,EF3023,1528-1831/4119,.....==........,0/0,7.38,100.000,vfdb,NP_816637
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_13623,173,402,cheA,709-938/2310,....==../......,2/2,9.91,77.489,vfdb,YP_002343725
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_15219,8765,9026,fliN,237-498/498,.......========,0/0,52.61,78.626,vfdb,YP_106653
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_16284,3,325,fliI,700-1022/1572,......==/==....,2/2,20.48,85.494,vfdb,YP_106855
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_16287,500,787,fliM,1-288/1065,====..../......,3/8,26.67,76.027,vfdb,NP_207821
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_1658,1,502,fss2,1-502/4956,==.............,0/0,10.13,99.801,vfdb,NP_816151
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_16823,555,683,tlpC,1659-1787/2022,............==.,0/0,6.38,83.721,vfdb,NP_206882
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_17358,4,357,pilU,622-975/1149,........=====..,0/0,30.81,77.684,vfdb,NP_249087
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_17651,784,860,ebpA,1-77/3312,=..............,0/0,2.32,100.000,vfdb,NP_814821
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_17814,389,598,tlpA,1657-1866/2028,............==.,0/0,10.36,76.190,vfdb,NP_206899
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_19014,1,517,EF3023,2679-3195/4119,.........===...,0/0,12.55,99.807,vfdb,NP_816637
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_19253,99,488,bplG,205-594/594,.....==========,0/0,65.66,98.718,vfdb,NP_878989
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_1958,169,728,fim2,79-632/633,.=======/======,3/8,87.36,78.075,vfdb,NP_879898
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_19956,463,552,efaA,838-927/927,.............==,0/0,9.71,100.000,vfdb,NP_815739
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_20853,361,510,hasC,9-158/915,===............,0/0,16.39,75.333,vfdb,NP_270109
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_20867,2,583,tcfA,1363-1944/1944,......../.=====,2/2,29.89,85.763,vfdb,NP_879974
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_21754,1,487,fhaC,1046-1532/1755,........======.,0/0,27.75,96.715,vfdb,NP_880575
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_22880,787,956,tsr,1075-1244/2022,.......===.....,0/0,8.41,77.059,vfdb,YP_109900
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_22885,1,837,ebpA,2476-3312/3312,...........====,0/0,25.27,99.164,vfdb,NP_814821
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_22885,841,1280,ebpB,1-440/1431,=====..........,0/0,30.75,99.545,vfdb,NP_814822
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_2319,1,234,bscE,1-234/300,============...,0/0,78.00,99.145,vfdb,NP_880906
/tmp/SRR606249_subset10_1_reads_trim30.megahit.contigs.fa,k119_24085,156,334,cps4K,401-579/1230,....====.......,0/0,14.55,77.654,vfdb,NP_344892
